,id,retweet_count,favorite_count,retweeted,language
0,892420643555336193,7197,34571,False,en
1,892177421306343426,5404,29973,False,en
2,891815181378084864,3569,22549,False,en
3,891689557279858688,7424,37820,False,en
4,891327558926688256,7960,36114,False,en
5,891087950875897856,2676,18210,False,en
6,890971913173991426,1719,10610,False,en
7,890729181411237888,16198,58186,False,en
8,890609185150312448,3717,25083,False,en
9,890240255349198849,6257,28605,False,en
10,890006608113172480,6305,27625,False,en
11,889880896479866881,4281,25114,False,en
12,889665388333682689,8574,43023,False,en
13,889638837579907072,3829,24207,False,en
14,889531135344209921,1927,13636,False,en
15,889278841981685760,4565,22607,False,en
16,888917238123831296,3841,26203,False,en
17,888804989199671297,3634,22965,False,en
18,888554962724278272,2958,17717,False,en
19,888078434458587136,2976,19578,False,en
20,887705289381826560,4648,27226,False,en
21,887517139158093824,10089,41674,False,en
22,887473957103951883,15412,61604,False,en
23,887343217045368832,9034,30240,False,en
24,887101392804085760,5108,27573,False,en
25,886983233522544640,6525,31100,False,en
26,886736880519319552,2717,10730,False,en
27,886680336477933568,3835,20197,False,en
28,886366144734445568,2704,18974,False,en
29,886267009285017600,3,104,False,en
30,886258384151887873,5416,25126,False,en
31,886054160059072513,96,0,False,und
32,885984800019947520,5758,29264,False,en
33,885528943205470208,5486,32306,False,en
34,885518971528720385,3193,18407,False,en
35,885311592912609280,15847,0,False,en
36,885167619883638784,3756,19656,False,en
37,884925521741709313,15443,68939,False,en
38,884876753390489601,4788,24961,False,en
39,884562892145688576,4019,21823,False,en
40,884441805382717440,4901,24403,False,en
41,884247878851493888,17380,64882,False,en
42,884162670584377345,2553,18349,False,en
43,883838122936631299,2937,19629,False,en
44,883482846933004288,8490,41151,False,en
45,883360690899218434,3161,20398,False,en
46,883117836046086144,5676,33290,False,en
47,882992080364220416,3318,21451,False,en
48,882762694511734784,4205,25349,False,en
49,882627270321602560,5204,25178,False,en
50,882268110199369728,9930,40138,False,en
51,882045870035918850,4182,26359,False,en
52,881906580714921986,2920,21919,False,en
53,881666595344535552,9192,45569,False,en
54,881633300179243008,8,113,False,en
55,881536004380872706,13753,44449,False,en
56,881268444196462592,4583,20960,False,en
57,880935762899988482,2397,15386,False,en
58,880872448815771648,3281,19155,False,en
59,880465832366813184,5338,25539,False,en
60,880221127280381952,3572,24232,False,en
61,880095782870896641,3741,24858,False,en
62,879862464715927552,2996,20163,False,en
63,879674319642796034,9,284,False,en
64,879492040517615616,2711,21174,False,en
65,879415818425184262,38433,94996,False,en
66,879376492567855104,2700,15175,False,en
67,879130579576475649,5882,0,False,en
68,879050749262655488,4051,20268,False,en
69,879008229531029506,2306,17146,False,en
70,878776093423087618,3524,17500,False,en
71,878604707211726852,6071,27013,False,en
72,878404777348136964,1099,0,False,en
73,878316110768087041,5686,0,False,en
74,878281511006478336,1099,6949,False,en
